Buildingnumber,cell,greening_category,Point_Count,simulation
147,79,no tree,0,1
565,79,no tree,0,1
625,79,no tree,0,1
852,79,no tree,0,1
1502,79,no tree,0,1
1757,79,no tree,2,1
2337,79,no tree,0,1
3126,79,no tree,0,1
3241,79,no tree,0,1
3441,79,no tree,0,1
3444,79,no tree,0,1
3890,79,no tree,0,1
4170,79,no tree,0,1
4781,79,no tree,0,1
4947,79,cover,3,1
5546,79,cover,2,1
5569,79,cover,3,1
6171,79,cover,2,1
6467,79,cover,1,1
8155,79,cover,2,1
8644,79,cover,2,1
8779,79,cover,1,1
9432,79,cover,0,1
10054,79,cover,1,1
10401,79,cover,2,1
11314,79,cover,0,1
13101,79,cover,1,1
13776,79,cover,2,1
13872,79,cover,1,1
14686,79,cover,2,1
15334,79,cover,1,1
15556,79,cover,3,1
16553,79,cover,2,1
17606,79,cover,1,1
17703,79,cover,3,1
18447,79,cover,1,1
19355,79,cover,4,1
19988,79,cover,6,1
20716,79,cover,1,1
21247,79,cover,3,1
22756,79,cover,1,1
22821,79,cover,1,1
23906,79,cover,3,1
25461,79,cover,3,1
25492,79,cover,2,1
25712,79,cover,3,1
27577,79,cover,2,1
28924,79,cover,2,1
29263,79,cover,1,1
29809,79,cover,3,1
30646,79,cover,1,1
31259,79,cover,1,1
31694,79,cover,1,1
31825,79,cover,1,1
32120,79,cover,1,1
32752,79,cover,3,1
33251,79,cover,0,1
33465,79,cover,0,1
33469,79,cover,2,1
33685,79,cover,1,1
33884,79,cover,2,1
33970,79,cover,2,1
34718,79,cover,0,1
35055,79,cover,2,1
35241,79,cover,3,1
35813,79,cover,1,1
35911,79,cover,1,1
36369,79,cover,3,1
37270,79,cover,1,1
37811,79,cover,1,1
37843,79,cover,3,1
37955,79,cover,2,1
38574,79,cover,4,1
38657,79,cover,3,1
39328,79,cover,1,1
40405,79,cover,4,1
40679,79,cover,1,1
41078,79,cover,1,1
41182,79,cover,0,1
41313,79,cover,1,1
41795,79,cover,0,1
42206,79,cover,2,1
42654,79,cover,5,1
43861,79,cover,1,1
44214,79,cover,7,1
44486,79,cover,2,1
45912,79,cover,3,1
46374,79,cover,3,1
47543,79,cover,1,1
48000,79,cover,4,1
49324,79,cover,1,1
49551,79,cover,3,1
50160,79,cover,2,1
50311,79,cover,2,1
50791,79,cover,2,1
51491,79,cover,2,1
52033,79,cover,4,1
52483,79,cover,1,1
52915,79,cover,4,1
53452,79,cover,1,1
54757,79,cover,3,1
54890,79,cover,2,1
55153,79,cover,3,1
56008,79,cover,2,1
56496,79,cover,2,1
56510,79,cover,2,1
56768,79,cover,3,1
56987,79,cover,1,1
57167,79,cover,3,1
57723,79,cover,1,1
58115,79,cover,0,1
59273,79,cover,1,1
59898,79,cover,4,1
60149,79,cover,2,1
60303,79,cover,1,1
60436,79,cover,4,1
61046,79,cover,0,1
61172,79,cover,2,1
62009,79,cover,2,1
62293,79,cover,3,1
63226,79,cover,1,1
63325,79,cover,1,1
64137,79,cover,2,1
64290,79,cover,1,1
64468,79,cover,1,1
65858,79,cover,3,1
66347,79,cover,2,1
67776,79,cover,1,1
69712,79,cover,4,1
69780,79,cover,5,1
71019,79,cover,4,1
71621,79,cover,2,1
71648,79,cover,2,1
73116,79,cover,2,1
73385,79,cover,2,1
73552,79,cover,4,1
74639,79,cover,1,1
75141,79,cover,2,1
76202,79,0-1m,0,1
76245,79,0-1m,1,1
77463,79,0-1m,2,1
77612,79,0-1m,1,1
77659,79,0-1m,1,1
78422,79,0-1m,1,1
79360,79,0-1m,1,1
79490,79,0-1m,3,1
80182,79,0-1m,2,1
80900,79,0-1m,2,1
81556,79,0-1m,0,1
82517,79,0-1m,1,1
82527,79,0-1m,1,1
82566,79,0-1m,2,1
83508,79,1-2m,1,1
83710,79,1-2m,1,1
83731,79,1-2m,2,1
84668,79,1-2m,2,1
85851,79,1-2m,3,1
85912,79,1-2m,2,1
86600,79,1-2m,1,1
86672,79,1-2m,4,1
87157,79,1-2m,1,1
87204,79,1-2m,2,1
87557,79,1-2m,1,1
87670,79,2-3m,1,1
88016,79,2-3m,1,1
88505,79,2-3m,4,1
89352,79,2-3m,0,1
90021,79,2-3m,2,1
90102,79,2-3m,3,1
90655,79,2-3m,2,1
90666,79,2-3m,1,1
90743,79,3-4m,1,1
91715,79,3-4m,2,1
92133,79,3-4m,3,1
93223,79,3-4m,2,1
94872,79,3-4m,0,1
97226,79,3-4m,2,1
98226,79,3-4m,1,1
98826,79,3-4m,1,1
99194,79,4-5m,3,1
99307,79,4-5m,0,1
99315,79,4-5m,0,1
99665,79,4-5m,0,1
100136,79,5-6m,1,1
100852,79,5-6m,1,1
101032,79,5-6m,1,1
101209,79,5-6m,0,1
101360,79,5-6m,1,1
101437,79,5-6m,0,1
101952,79,5-6m,0,1
102522,79,6-7m,0,1
102745,79,6-7m,0,1
103231,79,6-7m,0,1
106372,79,6-7m,1,1
109078,79,6-7m,1,1
109147,79,7-8m,1,1
109742,79,7-8m,1,1
110626,79,7-8m,0,1
111053,79,7-8m,0,1
111125,79,8-9m,0,1
111438,79,9-10m,0,1
112348,79,9-10m,0,1
113099,79,9-10m,0,1
113287,79,9-10m,0,1
502,80,No tree,0,0
7872,80,No tree,0,0
8461,80,No tree,0,0
12663,80,No tree,0,0
31759,80,No tree,0,0
34640,80,No tree,0,0
35563,80,No tree,0,0
54360,80,No tree,0,0
61274,80,No tree,2,0
69982,80,No tree,0,0
81296,80,No tree,0,0
89721,80,No tree,1,0
106350,80,No tree,0,0
385,80,cover,2,0
1134,80,cover,3,0
1460,80,cover,1,0
1871,80,cover,3,0
2363,80,cover,1,0
2895,80,cover,1,0
3147,80,cover,1,0
3305,80,cover,2,0
4406,80,cover,1,0
4804,80,cover,4,0
5309,80,cover,1,0
5462,80,cover,2,0
5515,80,cover,3,0
6385,80,cover,2,0
7588,80,cover,3,0
7986,80,cover,1,0
8207,80,cover,2,0
9548,80,cover,2,0
9705,80,cover,4,0
10411,80,cover,2,0
10425,80,cover,2,0
10624,80,cover,3,0
10877,80,cover,3,0
11214,80,cover,1,0
11940,80,cover,1,0
12793,80,cover,1,0
12960,80,cover,2,0
14013,80,cover,4,0
14157,80,cover,3,0
14825,80,cover,1,0
15384,80,cover,1,0
15543,80,cover,1,0
16592,80,cover,3,0
18619,80,cover,1,0
19212,80,cover,1,0
19499,80,cover,3,0
19678,80,cover,1,0
20457,80,cover,3,0
20475,80,cover,2,0
20496,80,cover,2,0
21935,80,cover,3,0
22344,80,cover,3,0
22346,80,cover,2,0
22835,80,cover,2,0
23620,80,cover,0,0
24528,80,cover,1,0
25592,80,cover,2,0
27003,80,cover,3,0
28125,80,cover,1,0
29395,80,cover,1,0
29592,80,cover,1,0
30325,80,cover,3,0
31690,80,cover,1,0
32588,80,cover,1,0
33163,80,cover,1,0
33164,80,cover,1,0
33330,80,cover,1,0
33811,80,cover,1,0
34038,80,cover,2,0
34408,80,cover,2,0
34418,80,cover,2,0
36459,80,cover,4,0
37141,80,cover,9,0
37507,80,cover,1,0
37730,80,cover,0,0
39219,80,cover,2,0
39534,80,cover,2,0
43151,80,cover,3,0
43224,80,cover,3,0
44085,80,cover,2,0
44739,80,cover,3,0
46801,80,cover,1,0
48459,80,cover,2,0
48624,80,cover,3,0
49290,80,cover,1,0
51630,80,cover,2,0
51969,80,cover,2,0
52673,80,cover,2,0
52920,80,cover,1,0
53154,80,cover,2,0
53415,80,cover,0,0
54192,80,cover,4,0
54240,80,cover,1,0
54708,80,cover,0,0
55542,80,cover,3,0
56036,80,cover,0,0
56115,80,cover,1,0
57263,80,cover,1,0
57701,80,cover,2,0
58332,80,cover,2,0
58435,80,cover,2,0
58451,80,cover,5,0
58529,80,cover,0,0
58537,80,cover,1,0
58907,80,cover,3,0
59331,80,cover,1,0
60959,80,cover,1,0
62341,80,cover,3,0
63037,80,cover,1,0
64142,80,cover,0,0
64580,80,cover,2,0
65730,80,cover,1,0
66045,80,cover,3,0
68446,80,cover,2,0
69250,80,cover,2,0
70303,80,cover,7,0
71408,80,cover,1,0
71727,80,cover,0,0
71813,80,cover,2,0
72155,80,cover,3,0
72881,80,cover,2,0
73458,80,cover,1,0
74526,80,cover,4,0
74873,80,cover,3,0
74962,80,cover,1,0
75375,80,cover,0,0
76328,80,cover,4,0
76370,80,cover,3,0
