number,height,crwnDmt,quality,,,,,
1,2,1.60,A,,,,,
2,2,1.13,A,,,,,
3,2,1.13,A,,,,,
4,2,1.13,A,,,,,
5,2,1.95,A,,,,,
6,2,1.95,A,,,,,
7,2,1.95,A,,,,,
8,2,1.95,A,,,,,
9,2,1.13,A,,,,,
10,2,1.60,A,,,,,
11,2,1.13,A,,,,,
12,2,2.26,A,,,,,
13,2,1.13,A,,,,,
14,2,2.52,A,,,,,
15,2,1.13,A,,,,,
16,2,1.13,A,,,,,
17,2,1.13,A,,,,,
18,2,1.13,A,,,,,
19,2,1.13,A,,,,,
20,2,1.13,A,,,,,
21,2,3.91,A,,,,,
22,2,3.19,A,,,,,
23,2,2.52,A,,,,,
24,2,1.95,A,,,,,
25,2,1.13,A,,,,,
26,2,1.13,A,,,,,
27,2,2.52,A,,,,,
28,2,2.52,A,,,,,
29,2,1.95,A,,,,,
30,2,1.13,A,,,,,
31,2,7.05,A,,,,,
32,2,1.13,A,,,,,
33,2,2.26,A,,,,,
34,2,2.52,A,,,,,
35,3,1.95,B,,,,,
36,3,3.91,B,,,,,
37,3,2.26,B,,,,,
38,3,2.26,B,,,,,
39,3,1.13,B,,,,,
40,3,3.39,B,,,,,
41,3,2.52,B,,,,,
42,3,2.76,B,,,,,
43,3,2.99,B,,,,,
44,3,3.39,B,,,,,
45,3,1.95,B,,,,,
46,3,1.13,B,,,,,
47,3,2.26,B,,,,,
48,3,5.05,B,,,,,
49,3,2.26,B,,,,,
50,3,1.95,B,,,,,
51,3,1.13,B,,,,,
52,3,1.13,B,,,,,
53,3,5.05,B,,,,,
54,3,2.76,B,,,,,
55,3,2.26,B,,,,,
56,3,3.19,B,,,,,
57,3,2.26,B,,,,,
58,3,2.26,B,,,,,
59,3,1.95,B,,,,,
60,3,1.13,B,,,,,
61,3,2.99,B,,,,,
62,3,4.51,B,,,,,
63,3,2.26,B,,,,,
64,3,1.13,B,,,,,
65,3,4.22,B,,,,,
66,3,2.76,B,,,,,
67,3,1.60,B,,,,,
68,3,3.91,B,,,,,
69,3,4.65,B,,,,,
70,3,3.19,B,,,,,
71,3,3.39,B,,,,,
72,3,2.52,B,,,,,
73,3,1.95,B,,,,,
74,3,2.52,B,,,,,
75,3,3.74,B,,,,,
76,3,2.76,B,,,,,
77,3,2.76,B,,,,,
78,3,3.57,B,,,,,
79,3,1.60,B,,,,,
80,3,1.95,B,,,,,
81,3,5.17,B,,,,,
82,3,3.19,B,,,,,
83,3,1.13,B,,,,,
84,3,4.07,B,,,,,
85,3,6.08,B,,,,,
86,3,3.74,B,,,,,
87,3,4.65,B,,,,,
88,3,1.60,B,,,,,
89,3,1.60,B,,,,,
90,4,2.26,C,,,,,
91,4,3.91,C,,,,,
92,4,5.86,C,,,,,
93,4,4.22,C,,,,,
94,4,3.57,C,,,,,
95,4,3.39,C,,,,,
96,4,2.76,C,,,,,
97,4,6.18,C,,,,,
98,4,4.65,C,,,,,
99,4,2.76,C,,,,,
100,4,2.76,C,,,,,
101,4,6.08,C,,,,,
102,4,5.97,C,,,,,
103,4,4.37,C,,,,,
104,4,3.39,C,,,,,
105,4,1.13,C,,,,,
106,4,5.86,C,,,,,
107,4,5.41,C,,,,,
108,4,6.68,C,,,,,
109,4,7.05,C,,,,,
110,4,2.26,C,,,,,
111,4,5.64,C,,,,,
112,4,5.17,C,,,,,
113,4,1.95,C,,,,,
114,4,5.53,C,,,,,
115,4,1.95,C,,,,,
116,4,2.99,C,,,,,
117,4,5.53,C,,,,,
118,4,2.52,C,,,,,
119,4,7.90,C,,,,,
120,4,9.64,C,,,,,
121,4,6.96,C,,,,,
122,4,7.23,C,,,,,
123,4,4.92,C,,,,,
124,4,9.10,C,,,,,
125,4,2.26,C,,,,,
126,4,5.64,C,,,,,
127,4,5.86,C,,,,,
128,4,5.53,C,,,,,
129,4,9.37,C,,,,,
130,4,9.84,C,,,,,
131,5,10.40,D,,,,,
132,5,3.19,D,,,,,
133,5,6.38,D,,,,,
134,5,3.91,D,,,,,
135,5,7.31,D,,,,,
136,5,3.91,D,,,,,
137,5,5.64,D,,,,,
138,5,5.41,D,,,,,
139,5,1.13,D,,,,,
140,5,3.19,D,,,,,
141,5,7.98,D,,,,,
142,5,7.31,D,,,,,
143,5,8.81,D,,,,,
144,5,6.08,D,,,,,
145,5,8.29,D,,,,,
146,5,10.94,D,,,,,
147,5,2.52,D,,,,,
148,5,7.90,D,,,,,
149,5,7.74,D,,,,,
150,5,3.91,D,,,,,
151,6,6.48,F,,,,,
152,6,9.10,F,,,,,
153,6,3.57,F,,,,,
154,6,6.58,F,,,,,
155,6,6.68,F,,,,,
156,6,7.40,F,,,,,
157,6,8.29,F,,,,,
158,6,3.19,F,,,,,
159,6,8.81,F,,,,,
160,6,9.03,F,,,,,
161,6,4.37,F,,,,,
162,7,7.82,G,,,,,
163,7,8.06,G,,,,,
164,7,3.57,G,,,,,
165,7,13.59,G,,,,,
166,7,11.83,G,,,,,
167,7,6.08,G,,,,,
168,7,17.08,G,,,,,
169,7,8.96,G,,,,,
170,7,2.26,G,,,,,
171,7,9.17,G,,,,,
172,7,8.81,G,,,,,
173,7,6.58,G,,,,,
174,7,9.71,G,,,,,
175,7,10.52,G,,,,,
176,7,10.34,G,,,,,
177,7,11.06,G,,,,,
178,7,8.81,G,,,,,
179,7,7.05,G,,,,,
180,8,9.44,H,,,,,
181,8,15.31,H,,,,,
182,8,2.26,H,,,,,
183,8,5.75,H,,,,,
184,8,7.90,H,,,,,
185,8,9.37,H,,,,,
186,9,7.74,H,,,,,
187,9,7.98,H,,,,,
188,9,10.76,H,,,,,
189,9,20.44,H,,,,,
190,9,9.44,H,,,,,
191,9,6.38,H,,,,,
192,9,13.21,H,,,,,
193,10,11.23,G,,,,,
194,10,11.83,G,,,,,
195,10,14.84,G,,,,,
196,10,18.30,G,,,,,
197,10,18.68,G,,,,,
198,10,18.61,G,,,,,
199,10,11.56,G,,,,,
200,10,14.23,G,,,,,
201,10,17.66,G,,,,,
202,10,14.27,G,,,,,
203,10,13.82,G,,,,,
204,10,10.88,G,,,,,
205,11,14.84,K,,,,,
206,11,11.78,K,,,,,
207,11,17.48,K,,,,,
208,11,13.91,K,,,,,
209,11,13.87,K,,,,,
210,11,4.51,K,,,,,
211,11,8.44,K,,,,,
212,11,12.15,K,,,,,
213,11,9.03,K,,,,,
214,11,18.92,K,,,,,
215,11,9.17,K,,,,,
216,11,13.01,K,,,,,
217,11,12.46,K,,,,,
218,11,7.57,K,,,,,
219,11,9.90,K,,,,,
220,11,17.41,K,,,,,
221,11,14.00,K,,,,,
222,11,12.41,K,,,,,
223,11,10.09,K,,,,,
224,11,22.96,K,,,,,
225,11,21.82,K,,,,,
226,11,8.67,K,,,,,
227,12,19.54,L,,,,,
228,12,24.23,L,,,,,
229,12,6.28,L,,,,,
230,12,22.26,L,,,,,
231,12,9.57,L,,,,,
232,12,20.93,L,,,,,
233,12,17.95,L,,,,,
234,12,22.11,L,,,,,
235,12,13.06,L,,,,,
236,12,17.33,L,,,,,
237,12,17.77,L,,,,,
238,12,12.62,L,,,,,
239,13,13.49,M,,,,,
240,13,12.62,M,,,,,
241,13,13.91,M,,,,,
242,13,15.59,M,,,,,
243,13,13.30,M,,,,,
244,13,22.82,M,,,,,
245,13,9.77,M,,,,,
246,13,17.19,M,,,,,
247,13,10.59,M,,,,,
248,13,30.57,M,,,,,
249,13,11.28,M,,,,,
250,13,16.43,M,,,,,
251,13,21.35,M,,,,,
252,13,19.71,M,,,,,
253,13,10.40,M,,,,,
254,13,7.23,M,,,,,
255,13,13.96,M,,,,,
256,13,14.45,M,,,,,
257,14,15.05,N,,,,,
258,14,20.06,N,,,,,
259,14,20.12,N,,,,,
260,14,26.05,N,,,,,
261,14,18.40,N,,,,,
262,14,13.11,N,,,,,
263,14,8.96,N,,,,,
264,14,17.77,N,,,,,
265,14,9.84,N,,,,,
266,14,15.31,N,,,,,
267,14,21.26,N,,,,,
268,14,17.44,N,,,,,
269,14,14.18,N,,,,,
270,14,14.63,N,,,,,
271,14,18.88,N,,,,,
272,14,30.24,N,,,,,
273,14,18.54,N,,,,,
274,14,20.65,N,,,,,
275,14,20.87,N,,,,,
276,14,15.35,N,,,,,
277,14,17.11,N,,,,,
278,14,13.73,N,,,,,
279,15,17.95,O,,,,,
280,15,21.62,O,,,,,
281,15,23.94,O,,,,,
282,15,28.41,O,,,,,
283,15,22.11,O,,,,,
284,15,24.57,O,,,,,
285,15,22.48,O,,,,,
286,15,8.06,O,,,,,
287,15,16.51,O,,,,,
288,15,22.20,O,,,,,
289,15,20.09,O,,,,,
290,15,26.56,O,,,,,
291,15,13.06,O,,,,,
292,15,19.35,O,,,,,
293,16,15.80,P,,,,,
294,16,16.93,P,,,,,
295,16,22.90,P,,,,,
296,16,37.44,P,,,,,
297,16,31.09,P,,,,,
298,16,27.82,P,,,,,
299,16,21.11,P,,,,,
300,16,47.41,P,,,,,
301,16,22.20,P,,,,,
302,16,7.65,P,,,,,
303,16,13.21,P,,,,,
304,16,10.88,P,,,,,
