OID_b,FID,COUNT_b,AREA_b,MEAN_b
1,0,113604,113604,0
2,1,158761,158761,0
3,2,157852,157852,0
4,3,156923,156923,0
5,4,156000,156000,0
6,5,155091,155091,0
7,6,154151,154151,0
8,7,153218,153218,0
9,8,152308,152308,0
10,9,151361,151361,0
11,10,150421,150421,0
12,11,149527,149527,0
13,12,148606,148606,0
14,13,147653,147653,0
15,14,146745,146745,0
16,15,145834,145834,0
17,16,144870,144870,0
18,17,143952,143952,0
19,18,143053,143053,0
20,19,142100,142100,0
21,20,141183,141183,0
22,21,140274,140274,0
23,22,139327,139327,0
24,23,138403,138403,0
25,24,137493,137493,0
26,25,136562,136562,0
27,26,135623,135623,0
28,27,134713,134713,0
29,28,133791,133791,0
30,29,132841,132841,0
31,30,131935,131935,0
32,31,131019,131019,0.00528925
33,32,130070,130070,0
34,33,129170,129170,0
35,34,128247,128247,0
36,35,127292,127292,0
37,36,126377,126377,0
38,37,125467,125467,0
39,38,124521,124521,0
40,39,123600,123600,0
41,40,122713,122713,0
42,41,121770,121770,0
43,42,120821,120821,0
44,43,119913,119913,0
45,44,118989,118989,0
46,45,86913,86913,0
47,46,114739,114739,0
48,47,159914,159914,0
49,48,159907,159907,0
50,49,159878,159878,0
51,50,159892,159892,0
52,51,159901,159901,0
53,52,159891,159891,0
54,53,159912,159912,0
55,54,159913,159913,0
56,55,159889,159889,0
57,56,159905,159905,0
58,57,159890,159890,0
59,58,159865,159865,0
60,59,159912,159912,0
61,60,159912,159912,0
62,61,159889,159889,0
63,62,159912,159912,0
64,63,159912,159912,0
65,64,159875,159875,0
66,65,159880,159880,0
67,66,159902,159902,0
68,67,159905,159905,0
69,68,159895,159895,0
70,69,159908,159908,0
71,70,159912,159912,0
72,71,159873,159873,0
73,72,159887,159887,0
74,73,159895,159895,0
75,74,159884,159884,0
76,75,159912,159912,0
77,76,159909,159909,0
78,77,159886,159886,0.004048871
79,78,159903,159903,0.000838462
80,79,159886,159886,0
81,80,159868,159868,0
82,81,159903,159903,0
83,82,159908,159908,0
84,83,159902,159902,0
85,84,159896,159896,0
86,85,159906,159906,0
87,86,159884,159884,0
88,87,159859,159859,0
89,88,159905,159905,0
90,89,159908,159908,0
91,90,159884,159884,0
92,91,116799,116799,0
93,92,115649,115649,0
94,93,159914,159914,0
