OID_,FID,COUNT,AREA,MEAN
1,0,113604.000000000000000,113604.000000000000000,0.000000000000000
2,1,158761.000000000000000,158761.000000000000000,0.000000000000000
3,2,157852.000000000000000,157852.000000000000000,0.000000000000000
4,3,156923.000000000000000,156923.000000000000000,0.000000000000000
5,4,156000.000000000000000,156000.000000000000000,0.000000000000000
6,5,155091.000000000000000,155091.000000000000000,0.000000000000000
7,6,154151.000000000000000,154151.000000000000000,0.000000000000000
8,7,153218.000000000000000,153218.000000000000000,0.000000000000000
9,8,152308.000000000000000,152308.000000000000000,0.000000000000000
10,9,151361.000000000000000,151361.000000000000000,0.000000000000000
11,10,150421.000000000000000,150421.000000000000000,0.000000000000000
12,11,149527.000000000000000,149527.000000000000000,0.000000000000000
13,12,148606.000000000000000,148606.000000000000000,0.000000000000000
14,13,147653.000000000000000,147653.000000000000000,0.000000000000000
15,14,146745.000000000000000,146745.000000000000000,0.000000000000000
16,15,145834.000000000000000,145834.000000000000000,0.000000000000000
17,16,144870.000000000000000,144870.000000000000000,0.000000000000000
18,17,143952.000000000000000,143952.000000000000000,0.000000000000000
19,18,143053.000000000000000,143053.000000000000000,0.000000000000000
20,19,142100.000000000000000,142100.000000000000000,0.000000000000000
21,20,141183.000000000000000,141183.000000000000000,0.000000000000000
22,21,140274.000000000000000,140274.000000000000000,0.000000000000000
23,22,139327.000000000000000,139327.000000000000000,0.000000000000000
24,23,138403.000000000000000,138403.000000000000000,0.000000000000000
25,24,137493.000000000000000,137493.000000000000000,0.000000000000000
26,25,136562.000000000000000,136562.000000000000000,0.000000000000000
27,26,135623.000000000000000,135623.000000000000000,0.000000000000000
28,27,134713.000000000000000,134713.000000000000000,0.000000000000000
29,28,133791.000000000000000,133791.000000000000000,0.000000000000000
30,29,132841.000000000000000,132841.000000000000000,0.000000000000000
31,30,131935.000000000000000,131935.000000000000000,0.044265950505413
32,31,131019.000000000000000,131019.000000000000000,0.799770354962558
33,32,130070.000000000000000,130070.000000000000000,1.030284382018087
34,33,129170.000000000000000,129170.000000000000000,0.000695002698267
35,34,128247.000000000000000,128247.000000000000000,0.000000000000000
36,35,127292.000000000000000,127292.000000000000000,0.000000000000000
37,36,126377.000000000000000,126377.000000000000000,0.000000000000000
38,37,125467.000000000000000,125467.000000000000000,0.000000000000000
39,38,124521.000000000000000,124521.000000000000000,0.000000000000000
40,39,123600.000000000000000,123600.000000000000000,0.000000000000000
41,40,122713.000000000000000,122713.000000000000000,0.000000000000000
42,41,121770.000000000000000,121770.000000000000000,0.000000000000000
43,42,120821.000000000000000,120821.000000000000000,0.000000000000000
44,43,119913.000000000000000,119913.000000000000000,0.000000000000000
45,44,118989.000000000000000,118989.000000000000000,0.000000000000000
46,45,86913.000000000000000,86913.000000000000000,0.000000000000000
47,46,114739.000000000000000,114739.000000000000000,0.000000000000000
48,47,159914.000000000000000,159914.000000000000000,0.000000000000000
49,48,159907.000000000000000,159907.000000000000000,0.000000000000000
50,49,159878.000000000000000,159878.000000000000000,0.000000000000000
51,50,159892.000000000000000,159892.000000000000000,0.000000000000000
52,51,159901.000000000000000,159901.000000000000000,0.000000000000000
53,52,159891.000000000000000,159891.000000000000000,0.000000000000000
54,53,159912.000000000000000,159912.000000000000000,0.000000000000000
