name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Des Moines, IA",2022-01-01,-11.1,-16.7,-15.3,-21.5,-27.7,-25.9,-18.4,77.2,3.136,100,29.17,snow,2.3,2.7,57.6,33.8,351.4,1018.3,88.2,11,18.6,0.6,0,,2022-01-01T07:41:22,2022-01-01T16:55:07,0.96,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"KDSM,72546014933,72546604938,KIKV,F8044,C6735"
"Des Moines, IA",2022-01-02,-13.6,-21.8,-17.7,-15,-30.8,-24.8,-22.4,67.2,0,0,0,,2.9,5.9,35.3,20.4,295.6,1027.5,15,15.9,78.5,2.8,2,,2022-01-02T07:41:27,2022-01-02T16:56:00,0,Clear,Clear conditions throughout the day.,snow,"KDSM,72546014933,72546604938,KIKV,99999954902,C6735"
"Des Moines, IA",2022-01-03,0.7,-17.6,-8.7,-3.2,-24.9,-14.6,-13.5,68.3,0.079,100,4.17,"rain,snow",0,4.8,24.1,23.2,177.2,1024.2,13.1,16,102.2,3.5,2,,2022-01-03T07:41:29,2022-01-03T16:56:53,0.03,"Snow, Rain",Clear conditions throughout the day with afternoon rain or snow.,rain,"KDSM,72546014933,72546604938,KIKV,C6735"
"Des Moines, IA",2022-01-04,3.5,-7.1,-0.5,-0.6,-17.6,-6.6,-5.6,68.6,0,0,0,,0,3.1,86.2,60.4,217.1,1007.3,57.1,15.4,105.1,3.7,2,,2022-01-04T07:41:28,2022-01-04T16:57:49,0.06,Partially cloudy,Partly cloudy throughout the day.,wind,"KDSM,72546014933,72546604938,KIKV,99999954902,C6735"
"Des Moines, IA",2022-01-05,-8.6,-15,-12.2,-20.1,-27.6,-23.7,-18.4,60,0,0,0,,0,2.5,81.1,53.6,297.5,1016.7,61.7,15.7,98.6,3.7,2,,2022-01-05T07:41:26,2022-01-05T16:58:46,0.1,Partially cloudy,Partly cloudy throughout the day.,wind,"KDSM,72546014933,72546604938,KIKV,99999954902,C6735"
"Des Moines, IA",2022-01-06,-15,-18.9,-17,-25.2,-30.6,-27.2,-22.3,63.8,0,0,0,,0,2.5,48,32,315.6,1027,31.9,15.5,113.1,4.1,2,,2022-01-06T07:41:21,2022-01-06T16:59:44,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDSM,KAMW,72546014933,72546604938,KIKV,99999954902,C6735"
"Des Moines, IA",2022-01-07,-10.8,-19.2,-14.9,-18.4,-26.6,-21.4,-19.9,65.5,0,0,0,,0,2.3,31.7,25.5,137.9,1025,76.6,16,113.2,3.9,2,,2022-01-07T07:41:13,2022-01-07T17:00:44,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDSM,72546014933,72546604938,KIKV,99999954902,C6735"
"Des Moines, IA",2022-01-08,-0.5,-11.8,-4.3,-0.8,-19.5,-10.1,-7,81.5,0,0,0,,0,1.7,44.6,29.3,170.3,1013.9,84,12.3,40.3,1.4,1,,2022-01-08T07:41:04,2022-01-08T17:01:45,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDSM,72546014933,72546604938,KIKV,99999954902,C6735"
"Des Moines, IA",2022-01-09,-4.8,-14.3,-9.1,-10.7,-23.5,-16.1,-16.2,56.9,0,0,0,,0,1.7,50,32.9,306.1,1033.5,40.2,16,104.8,3.8,3,,2022-01-09T07:40:52,2022-01-09T17:02:48,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDSM,72546014933,72546604938,KIKV,99999954902,C6735"
"Des Moines, IA",2022-01-10,-6.7,-11.4,-9.4,-6.7,-18.8,-14.2,-16,59.5,0,0,0,,0,1.5,25.9,16.3,16.8,1035.9,18.3,16,62.5,3.5,3,10,2022-01-10T07:40:37,2022-01-10T17:03:51,0.26,Clear,Clear conditions throughout the day.,clear-day,"KDSM,KAMW,72546014933,72546604938,KIKV,99999954902,C6735"
